Receive Time,receive_time_offset_sec,Session ID,session_key,Type,Threat/Content Type,Rule,Action Source,Action,Session End Reason,Application,Source Zone,Destination Zone,Inbound Interface,Outbound Interface,IP Protocol,Source Port,Destination Port,Source Country,Destination Country,Category,Bytes,Bytes Sent,Bytes Received,Packets,Packets Sent,Packets Received,Elapsed Time (sec),Subcategory of app,Category of app,Technology of app,Risk of app,SaaS of app,AI Traffic,has_linked_threat
2000/01/01 00:00:00,0,100000,synthetic-0000,TRAFFIC,end,synthetic-rule-3,from-policy,allow,aged-out,dns-base,LAN,LAN,ethernet1/1,ethernet1/2,udp,47949,53,Private-Use,France,unknown,972,465,507,4,3,1,0,infrastructure,networking,network-protocol,3,no,no,0
2000/01/01 00:00:25,25,100001,synthetic-0001,TRAFFIC,end,synthetic-rule-2,from-policy,allow,tcp-rst-from-server,dns-base,LAN,WAN,ethernet1/1,ethernet1/1,udp,25922,53,Private-Use,Private-Use,unknown,13318,4818,8500,39,22,17,177,infrastructure,networking,network-protocol,3,no,no,0
2000/01/01 00:00:38,38,100002,synthetic-0002,TRAFFIC,end,synthetic-rule-1,from-policy,allow,tcp-rst-from-client,snmpv3-get-request,LAN,WAF,ethernet1/1,ethernet1/1,udp,44360,161,Private-Use,United States,unknown,45167,13167,32000,59,19,40,41,network-management,networking,client-server,2,no,no,0
2000/01/01 00:01:06,66,100003,synthetic-0003,TRAFFIC,end,synthetic-rule-2,from-policy,allow,threat,web-browsing,WAN,DMZ,ethernet1/1,ethernet1/2,tcp,36029,80,Private-Use,United States,any,15900,4653,11247,34,11,23,0,internet-utility,general-internet,browser-based,4,no,no,1
2000/01/01 00:00:52,52,100004,synthetic-0004,TRAFFIC,end,synthetic-rule-2,from-policy,allow,tcp-fin,unknown-tcp,WAN,DMZ,ethernet1/1,ethernet1/2,tcp,60867,7547,Private-Use,France,computer-and-internet-info,10252,368,9884,18,4,14,0,unknown,unknown,unknown,1,no,no,0
2000/01/01 00:02:00,120,100005,synthetic-0005,TRAFFIC,end,synthetic-rule-3,from-policy,allow,tcp-rst-from-server,ssl,LAN,WAN,ae1.10,ae1.10,tcp,24747,443,Private-Use,United States,any,30706,9776,20930,51,16,35,0,encrypted-tunnel,networking,browser-based,4,no,no,0
2000/01/01 00:01:18,78,100006,synthetic-0006,TRAFFIC,end,synthetic-rule-3,from-policy,allow,tcp-rst-from-server,snmpv3-get-request,WAN,WAN,ae1.10,ethernet1/3,udp,64664,161,Private-Use,France,any,35724,3500,32224,66,28,38,59,network-management,networking,client-server,2,no,no,0
2000/01/01 00:01:59,119,100007,synthetic-0007,TRAFFIC,end,synthetic-rule-1,from-policy,allow,aged-out,ssl,LAN,LAN,ethernet1/1,ethernet1/3,tcp,56183,443,Private-Use,France,computer-and-internet-info,18064,693,17371,40,11,29,0,encrypted-tunnel,networking,browser-based,4,no,no,0
2000/01/01 00:01:20,80,100008,synthetic-0008,TRAFFIC,end,synthetic-rule-1,from-policy,allow,tcp-fin,snmpv3-get-request,LAN,LAN,ethernet1/1,ethernet1/2,udp,58565,161,Private-Use,France,any,6371,5568,803,33,32,1,44,network-management,networking,client-server,2,no,no,0
2000/01/01 00:02:33,153,100009,synthetic-0009,TRAFFIC,end,synthetic-rule-3,from-policy,allow,threat,snmpv3-get-request,LAN,WAN,ae1.10,ethernet1/2,udp,61901,161,Private-Use,France,computer-and-internet-info,28169,7099,21070,66,31,35,103,network-management,networking,client-server,2,no,no,0
