evidence_family,bin,lower,upper,count,mean_score,observed_rate,abs_gap
traffic_context_only,1,0.0,0.1,209603,0.018230818212032318,0.018239242758929977,8.424546897659035e-06
traffic_context_only,2,0.1,0.2,60,0.13730521500110626,0.0,0.13730521500110626
traffic_context_only,3,0.2,0.30000000000000004,13,0.2576438784599304,0.23076923076923078,0.026874647690699638
traffic_context_only,4,0.30000000000000004,0.4,2,0.3503013551235199,0.5,0.1496986448764801
traffic_context_only,5,0.4,0.5,2,0.4409346580505371,0.0,0.4409346580505371
traffic_context_only,6,0.5,0.6000000000000001,4,0.5888039469718933,1.0,0.4111960530281067
traffic_context_only,7,0.6000000000000001,0.7000000000000001,10,0.6625007390975952,0.9,0.2374992609024048
traffic_context_only,8,0.7000000000000001,0.8,6,0.7455011010169983,1.0,0.2544988989830017
traffic_context_only,9,0.8,0.9,4,0.8578472137451172,1.0,0.1421527862548828
traffic_context_only,10,0.9,1.0,12,0.9221184253692627,1.0,0.0778815746307373
volume_only,1,0.0,0.1,209353,0.017659297212958336,0.017640062478206667,1.9234734751669147e-05
volume_only,2,0.1,0.2,124,0.1390659213066101,0.10483870967741936,0.03422721162919075
volume_only,3,0.2,0.30000000000000004,33,0.2386905997991562,0.21212121212121213,0.026569387677944062
volume_only,4,0.30000000000000004,0.4,20,0.34382206201553345,0.35,0.0061779379844665305
volume_only,5,0.4,0.5,29,0.4639950394630432,0.3793103448275862,0.08468469463545703
volume_only,6,0.5,0.6000000000000001,35,0.5496416091918945,0.7714285714285715,0.22178696223667693
volume_only,7,0.6000000000000001,0.7000000000000001,39,0.6533381342887878,0.7948717948717948,0.14153366058300698
volume_only,8,0.7000000000000001,0.8,47,0.7448745369911194,0.851063829787234,0.10618929279611466
volume_only,9,0.8,0.9,13,0.8271204233169556,0.9230769230769231,0.09595649975996756
volume_only,10,0.9,1.0,23,0.9684717655181885,0.9130434782608695,0.055428287257318964
policy_action_only,1,0.0,0.1,207779,0.01735452562570572,0.017258722007517602,9.580361818811722e-05
policy_action_only,2,0.1,0.2,1937,0.13518740236759186,0.14248838409912234,0.007300981731530487
policy_action_only,3,0.2,0.30000000000000004,0,,,
policy_action_only,4,0.30000000000000004,0.4,0,,,
policy_action_only,5,0.4,0.5,0,,,
policy_action_only,6,0.5,0.6000000000000001,0,,,
policy_action_only,7,0.6000000000000001,0.7000000000000001,0,,,
policy_action_only,8,0.7000000000000001,0.8,0,,,
policy_action_only,9,0.8,0.9,0,,,
policy_action_only,10,0.9,1.0,0,,,
context_plus_volume,1,0.0,0.1,209294,0.01753167062997818,0.017516030082085486,1.5640547892693812e-05
context_plus_volume,2,0.1,0.2,135,0.1316324919462204,0.1111111111111111,0.020521380835109293
context_plus_volume,3,0.2,0.30000000000000004,31,0.24894867837429047,0.3870967741935484,0.1381480958192579
context_plus_volume,4,0.30000000000000004,0.4,43,0.3521721661090851,0.3023255813953488,0.049846584713736264
context_plus_volume,5,0.4,0.5,41,0.45116326212882996,0.5609756097560976,0.10981234762726766
context_plus_volume,6,0.5,0.6000000000000001,47,0.54807448387146,0.6170212765957447,0.06894679272428472
context_plus_volume,7,0.6000000000000001,0.7000000000000001,52,0.6512335538864136,0.7692307692307693,0.1179972153443557
context_plus_volume,8,0.7000000000000001,0.8,43,0.7403353452682495,0.8372093023255814,0.09687395705733193
context_plus_volume,9,0.8,0.9,10,0.8396514654159546,0.9,0.06034853458404543
context_plus_volume,10,0.9,1.0,20,0.9802743792533875,0.95,0.030274379253387496
context_plus_policy_action,1,0.0,0.1,208677,0.017409490421414375,0.01739530470535804,1.4185716056335645e-05
context_plus_policy_action,2,0.1,0.2,486,0.14422832429409027,0.15432098765432098,0.010092663360230708
context_plus_policy_action,3,0.2,0.30000000000000004,491,0.23446275293827057,0.2158859470468432,0.018576805891427378
context_plus_policy_action,4,0.30000000000000004,0.4,11,0.3202129602432251,0.2727272727272727,0.04748568751595239
context_plus_policy_action,5,0.4,0.5,2,0.487265408039093,0.5,0.012734591960906982
context_plus_policy_action,6,0.5,0.6000000000000001,8,0.5753572583198547,0.875,0.29964274168014526
context_plus_policy_action,7,0.6000000000000001,0.7000000000000001,11,0.6564827561378479,1.0,0.3435172438621521
context_plus_policy_action,8,0.7000000000000001,0.8,1,0.7872205376625061,1.0,0.2127794623374939
context_plus_policy_action,9,0.8,0.9,5,0.8265220522880554,1.0,0.17347794771194458
context_plus_policy_action,10,0.9,1.0,24,0.9868238568305969,0.9583333333333334,0.028490523497263553
full_core,1,0.0,0.1,209337,0.01725728251039982,0.017206704978097516,5.05775323023025e-05
full_core,2,0.1,0.2,67,0.1325807273387909,0.014925373134328358,0.11765535420446253
full_core,3,0.2,0.30000000000000004,9,0.2531810700893402,0.0,0.2531810700893402
full_core,4,0.30000000000000004,0.4,16,0.3565415143966675,0.5,0.14345848560333252
full_core,5,0.4,0.5,18,0.4403463304042816,0.4444444444444444,0.0040981140401628036
full_core,6,0.5,0.6000000000000001,21,0.5486524701118469,0.47619047619047616,0.07246199392137076
full_core,7,0.6000000000000001,0.7000000000000001,25,0.6474601626396179,0.76,0.11253983736038209
full_core,8,0.7000000000000001,0.8,24,0.7558269500732422,0.7083333333333334,0.04749361673990882
full_core,9,0.8,0.9,26,0.8587855100631714,1.0,0.1412144899368286
full_core,10,0.9,1.0,173,0.9529819488525391,0.9884393063583815,0.035457357505842446
