evaluation,model,feature_set,seed,features,fit_seconds,test_rows,test_positives,accuracy,balanced_accuracy,macro_f1,average_precision,roc_auc,positive_precision,positive_recall,tn,fp,fn,tp
primary_later_20pct,XGBoost,full_core,42,27,23.71257470001001,209826,200,0.9997855365874582,0.9324570663944358,0.942401577111831,0.9663202735696389,0.9993735748428152,0.9057591623036649,0.865,209608,18,27,173
primary_later_20pct,XGBoost,no_outcome,42,24,27.851044800016098,209826,200,0.9992660585437457,0.7423783547842348,0.7785519945367594,0.5594559713876998,0.9895193225077042,0.6554054054054054,0.485,209575,51,103,97
primary_later_20pct,XGBoost,hard_proxy,42,7,9.608105199993588,209826,200,0.9992184000076254,0.7173783547842347,0.7572008921983111,0.5181306129224734,0.9780319235209374,0.6304347826086957,0.435,209575,51,113,87
primary_later_20pct,Extra Trees,no_outcome,42,24,74.54054749995703,209826,200,0.999285121958194,0.7548759695839257,0.7879567228226743,0.4937050024796582,0.9339495935618674,0.6623376623376623,0.51,209574,52,98,102
primary_later_20pct,LightGBM,no_outcome,42,24,17.313018499989994,209826,200,0.9977219219734447,0.9089457414633682,0.7029033299564943,0.544189265261264,0.9833038721341818,0.2706270627062706,0.82,209184,442,36,164
primary_later_20pct,CatBoost,no_outcome,42,24,50.56512169999769,209826,200,0.991979068370936,0.928550108288094,0.583248701459169,0.4765467394575306,0.9912429040290803,0.09458720612356479,0.865,207970,1656,27,173
primary_later_20pct,Logistic Regression,no_outcome,42,24,32.62651489995187,209826,200,0.4892434683976247,0.7393828532720178,0.33014126288781775,0.0018487307989776159,0.7402686212588133,0.0018441592310414843,0.99,102458,107168,2,198
primary_later_20pct,XGBoost,duration_only,42,1,8.372344099974725,209826,200,0.9990468292775919,0.5,0.49976159369844464,0.014738308525355464,0.80205339509412,0.0,0.0,209626,0,200,0
primary_later_20pct,XGBoost,volume_only,42,6,10.641966100025456,209826,200,0.9991326146426086,0.6648855103851622,0.7099740740888133,0.43304781011672244,0.9696284454218465,0.5789473684210527,0.33,209578,48,134,66
primary_later_20pct,XGBoost,rate_normalized,42,8,11.260310900048353,209826,200,0.9991373804962207,0.6998545027811436,0.734388275316977,0.4375931602620595,0.9709357617852747,0.5673758865248227,0.4,209565,61,120,80
primary_later_20pct,XGBoost,no_outcome,13,24,19.477782599977218,209826,200,0.9992565268365217,0.7398759695839257,0.7756760464138602,0.5674406532866337,0.994190486867087,0.6486486486486487,0.48,209574,52,104,96
primary_later_20pct,XGBoost,hard_proxy,13,7,10.336610600003041,209826,200,0.9992184000076254,0.7198759695839256,0.7586279709731796,0.5140957063569331,0.9780463301308044,0.6285714285714286,0.44,209574,52,112,88
primary_later_20pct,XGBoost,no_outcome,73,24,16.232021200004965,209826,200,0.9992231658612374,0.7323664287826892,0.7662812745181495,0.5592844417465155,0.9910317780237184,0.6241610738255033,0.465,209570,56,107,93
primary_later_20pct,XGBoost,hard_proxy,73,7,8.783392400015146,209826,200,0.9992374634220735,0.7248807399845439,0.7645150936323704,0.4876400353466725,0.9788223192733726,0.6428571428571429,0.45,209576,50,110,90
primary_later_20pct,XGBoost,no_outcome,101,24,14.796095800003968,209826,200,0.9992755902509699,0.7448807399845438,0.7814279426596586,0.5562992706460227,0.9920066451680611,0.6621621621621622,0.49,209576,50,102,98
primary_later_20pct,XGBoost,hard_proxy,101,7,8.551469900005031,209826,200,0.9992326975684614,0.7248783547842348,0.763737637160405,0.48145178704202224,0.9785735667331342,0.6382978723404256,0.45,209575,51,110,90
primary_later_20pct,XGBoost,no_outcome,137,24,17.96394169999985,209826,200,0.9992803561045819,0.7498783547842347,0.78472022332161,0.5525383727399507,0.9905251018480532,0.6622516556291391,0.5,209575,51,100,100
primary_later_20pct,XGBoost,hard_proxy,137,7,11.341769799997564,209826,200,0.9992136341540133,0.7198735843836165,0.7578677647917194,0.47831526236898503,0.978346626849723,0.624113475177305,0.44,209573,53,112,88
rolling_origin_fold_1,XGBoost,no_outcome,42,24,6.898458400042728,209540,242,0.9994082275460533,0.8098409093475719,0.8536254919606172,0.6956004483540628,0.9882390595117294,0.8241758241758241,0.6198347107438017,209266,32,92,150
rolling_origin_fold_2,XGBoost,no_outcome,42,24,9.884873100032564,210101,316,0.9991718268832609,0.8257968299672691,0.8513285037592635,0.7118796661254387,0.9850309222552445,0.762962962962963,0.6518987341772152,209721,64,110,206
rolling_origin_fold_3,XGBoost,no_outcome,42,24,18.50277969997842,209826,200,0.9992660585437457,0.7423783547842348,0.7785519945367594,0.5594559713876998,0.9895193225077042,0.6554054054054054,0.485,209575,51,103,97
