evaluation,model,feature_set,seed,k,true_positives,precision,recall,precision_cp95
primary_later_20pct,XGBoost,full_core,42,50,50,1.0,0.25,"[0.9288782635358024, 1.0]"
primary_later_20pct,XGBoost,full_core,42,100,99,0.99,0.495,"[0.9455406146079194, 0.9997468539670226]"
primary_later_20pct,XGBoost,full_core,42,250,198,0.792,0.99,"[0.7363530344931548, 0.8405793291043605]"
primary_later_20pct,XGBoost,full_core,42,500,198,0.396,0.99,"[0.3528578860328574, 0.4403793310267584]"
primary_later_20pct,XGBoost,full_core,42,1000,198,0.198,0.99,"[0.1737197811041495, 0.2240722051716183]"
primary_later_20pct,XGBoost,no_outcome,42,50,35,0.7,0.175,"[0.5539176743388218, 0.821382154335853]"
primary_later_20pct,XGBoost,no_outcome,42,100,67,0.67,0.335,"[0.5688272492224368, 0.7608014653773981]"
primary_later_20pct,XGBoost,no_outcome,42,250,144,0.576,0.72,"[0.5121436793932146, 0.6380324559123765]"
primary_later_20pct,XGBoost,no_outcome,42,500,161,0.322,0.805,"[0.2812023914634842, 0.36491803195152994]"
primary_later_20pct,XGBoost,no_outcome,42,1000,167,0.167,0.835,"[0.14439030619474671, 0.1915890701763092]"
primary_later_20pct,XGBoost,hard_proxy,42,50,38,0.76,0.19,"[0.6183092518959619, 0.8693900838025427]"
primary_later_20pct,XGBoost,hard_proxy,42,100,69,0.69,0.345,"[0.5896854458398009, 0.7787112078693289]"
primary_later_20pct,XGBoost,hard_proxy,42,250,131,0.524,0.655,"[0.4601255116570159, 0.5872987706827353]"
primary_later_20pct,XGBoost,hard_proxy,42,500,152,0.304,0.76,"[0.2639432358616647, 0.3463927325388252]"
primary_later_20pct,XGBoost,hard_proxy,42,1000,154,0.154,0.77,"[0.13217302837265313, 0.17788548052787562]"
primary_later_20pct,Extra Trees,no_outcome,42,50,29,0.58,0.145,"[0.4320604350655657, 0.7181177588763025]"
primary_later_20pct,Extra Trees,no_outcome,42,100,69,0.69,0.345,"[0.5896854458398009, 0.7787112078693289]"
primary_later_20pct,Extra Trees,no_outcome,42,250,138,0.552,0.69,"[0.488051583220868, 0.614700818004567]"
primary_later_20pct,Extra Trees,no_outcome,42,500,160,0.32,0.8,"[0.2792812227441578, 0.3628631328181405]"
primary_later_20pct,Extra Trees,no_outcome,42,1000,164,0.164,0.82,"[0.14156627645436196, 0.18843132752609845]"
primary_later_20pct,LightGBM,no_outcome,42,50,35,0.7,0.175,"[0.5539176743388218, 0.821382154335853]"
primary_later_20pct,LightGBM,no_outcome,42,100,63,0.63,0.315,"[0.527648359448317, 0.7244334203854486]"
primary_later_20pct,LightGBM,no_outcome,42,250,145,0.58,0.725,"[0.5161731583629781, 0.6419068865351483]"
primary_later_20pct,LightGBM,no_outcome,42,500,159,0.318,0.795,"[0.2773609148076926, 0.3608073770325142]"
primary_later_20pct,LightGBM,no_outcome,42,1000,164,0.164,0.82,"[0.14156627645436196, 0.18843132752609845]"
primary_later_20pct,CatBoost,no_outcome,42,50,27,0.54,0.135,"[0.3932419761169223, 0.6818508214313913]"
primary_later_20pct,CatBoost,no_outcome,42,100,58,0.58,0.29,"[0.4771191957239138, 0.678014460645203]"
primary_later_20pct,CatBoost,no_outcome,42,250,129,0.516,0.645,"[0.4521821654349421, 0.579434032461376]"
primary_later_20pct,CatBoost,no_outcome,42,500,160,0.32,0.8,"[0.2792812227441578, 0.3628631328181405]"
primary_later_20pct,CatBoost,no_outcome,42,1000,168,0.168,0.84,"[0.14533224927472724, 0.1926410554145053]"
primary_later_20pct,Logistic Regression,no_outcome,42,50,0,0.0,0.0,"[0.0, 0.07112173646419764]"
primary_later_20pct,Logistic Regression,no_outcome,42,100,0,0.0,0.0,"[0.0, 0.03621669264517641]"
primary_later_20pct,Logistic Regression,no_outcome,42,250,0,0.0,0.0,"[0.0, 0.014647188635680361]"
primary_later_20pct,Logistic Regression,no_outcome,42,500,0,0.0,0.0,"[0.0, 0.007350610051907784]"
primary_later_20pct,Logistic Regression,no_outcome,42,1000,4,0.004,0.02,"[0.0010909079877259714, 0.010209664683929871]"
primary_later_20pct,XGBoost,no_outcome,13,50,39,0.78,0.195,"[0.6403881114342107, 0.8847341739621514]"
primary_later_20pct,XGBoost,no_outcome,13,100,68,0.68,0.34,"[0.5792331383683775, 0.769780083238423]"
primary_later_20pct,XGBoost,no_outcome,13,250,143,0.572,0.715,"[0.5081182597579326, 0.634153951396037]"
primary_later_20pct,XGBoost,no_outcome,13,500,162,0.324,0.81,"[0.2831244167176286, 0.3669720786018176]"
primary_later_20pct,XGBoost,no_outcome,13,1000,167,0.167,0.835,"[0.14439030619474671, 0.1915890701763092]"
primary_later_20pct,XGBoost,no_outcome,73,50,35,0.7,0.175,"[0.5539176743388218, 0.821382154335853]"
primary_later_20pct,XGBoost,no_outcome,73,100,66,0.66,0.33,"[0.5584667322490411, 0.7517764984551558]"
primary_later_20pct,XGBoost,no_outcome,73,250,140,0.56,0.7,"[0.49606621876916884, 0.6224941409874234]"
primary_later_20pct,XGBoost,no_outcome,73,500,161,0.322,0.805,"[0.2812023914634842, 0.36491803195152994]"
