error_group,column,count,mean,median,q25,q75,min,max
true_negative,Bytes,205830,146469.13701112568,272.0,153.0,1459.0,60.0,5544739007.0
true_negative,Bytes Sent,205830,75925.04164601857,105.0,74.0,626.0,60.0,2495902522.0
true_negative,Bytes Received,205830,70544.09536510713,148.0,0.0,765.0,0.0,3183411634.0
true_negative,Packets,205830,183.2662779964048,2.0,2.0,10.0,1.0,14319574.0
true_negative,Packets Sent,205830,85.68201428363213,1.0,1.0,5.0,1.0,6153059.0
true_negative,Packets Received,205830,97.58426371277268,1.0,0.0,5.0,0.0,8166515.0
true_negative,Elapsed Time (sec),205830,15.300869649710927,0.0,0.0,0.0,0.0,78214.0
true_negative,Source Port,205830,47402.970980906575,52178.0,42336.0,57816.75,0.0,65535.0
true_negative,Destination Port,205830,3836.389675946169,443.0,53.0,5222.0,0.0,65535.0
true_negative,Risk of app,205830,2.1717679638536658,2.0,1.0,3.0,1.0,5.0
false_negative,Bytes,3624,72293.92991169979,628.0,207.0,2368.0,60.0,96086813.0
false_negative,Bytes Sent,3624,2775.388796909492,306.0,94.0,1232.0,60.0,1626503.0
false_negative,Bytes Received,3624,69518.54111479029,306.5,102.0,1134.0,0.0,94460310.0
false_negative,Packets,3624,71.46909492273731,4.0,2.0,16.0,1.0,80573.0
false_negative,Packets Sent,3624,14.040011037527593,2.0,1.0,7.0,1.0,5844.0
false_negative,Packets Received,3624,57.429083885209714,2.0,1.0,9.0,0.0,75281.0
false_negative,Elapsed Time (sec),3624,15.974061810154526,0.0,0.0,0.0,0.0,2545.0
false_negative,Source Port,3624,48418.019039735096,52971.5,43794.0,58347.5,0.0,65532.0
false_negative,Destination Port,3624,1594.5016556291391,161.0,53.0,443.0,0.0,64053.0
false_negative,Risk of app,3624,2.4862030905077264,3.0,2.0,3.0,1.0,5.0
true_positive,Bytes,238,27339.428571428572,427.0,319.25,728.0,182.0,2781717.0
true_positive,Bytes Sent,238,1669.8865546218487,237.0,122.0,447.5,79.0,94224.0
true_positive,Bytes Received,238,25669.54201680672,222.0,114.0,246.0,70.0,2687493.0
true_positive,Packets,238,36.80252100840336,4.0,2.0,8.0,2.0,3266.0
true_positive,Packets Sent,238,14.1890756302521,3.0,1.0,5.0,1.0,1130.0
true_positive,Packets Received,238,22.613445378151262,1.0,1.0,2.0,1.0,2136.0
true_positive,Elapsed Time (sec),238,17.634453781512605,10.0,3.0,17.75,0.0,354.0
true_positive,Source Port,238,56422.273109243695,57436.5,52886.5,61369.5,23302.0,65533.0
true_positive,Destination Port,238,70.35714285714286,53.0,53.0,53.0,53.0,443.0
true_positive,Risk of app,238,3.046218487394958,3.0,3.0,3.0,1.0,4.0
false_positive,Bytes,24,708.0,572.5,242.75,807.0,198.0,2121.0
false_positive,Bytes Sent,24,418.375,406.0,95.0,510.5,82.0,1642.0
false_positive,Bytes Received,24,289.625,212.0,146.0,311.0,70.0,835.0
false_positive,Packets,24,6.25,6.0,2.0,8.5,2.0,20.0
false_positive,Packets Sent,24,4.541666666666667,5.0,1.0,6.25,1.0,16.0
false_positive,Packets Received,24,1.7083333333333333,1.0,1.0,2.0,1.0,4.0
false_positive,Elapsed Time (sec),24,19.333333333333332,12.0,0.0,16.25,0.0,176.0
false_positive,Source Port,24,56129.916666666664,56602.0,51739.5,60145.75,49161.0,64116.0
false_positive,Destination Port,24,54.125,53.0,53.0,53.0,53.0,80.0
false_positive,Risk of app,24,3.0416666666666665,3.0,3.0,3.0,3.0,4.0
